id,F Name,L Name,Gender,Location,Categories,Hit count,Total Views
1,Arjun,Jha,Female,Punjab,"['Ministry of Coal', 'Ministry of Law and Justice', 'Ministry of External Affairs', 'Ministry of Communications']",83,6
2,Myra,Bhasin,Female,Sikkim,"['Ministry of Agriculture and Farmers Welfare', 'Ministry of Coal', 'Ministry of Science and Technology']",13,37
3,Angel,Bakshi,Male,Andhra Pradesh,"['Ministry of Law and Justice', 'Ministry of Petroleum and Natural Gases']",35,43
4,Kian,Kulkarni,Female,Lakshadweep,"['Ministry of Tourism', 'Ministry of Steel']",50,48
5,Diya,Naidu,Male,Daman and Diu,"['Ministry of Defence', 'Ministry of External Affairs', 'Ministry of Tourism']",21,58
6,Aarohi,Kohli,Male,Jammu and Kashmir,['Ministry of Power'],1,23
7,Atharva,Bhasin,Female,Goa,"['Ministry of Science and Technology', 'PM Speech', 'Ministry of Tribal Affairs']",55,8
8,Riya,Chawla,Female,Karnataka,['Ministry of Company Affairs'],40,46
9,Aarush,Gill,Female,Arunachal Pradesh,"['PM Speech', 'Ministry of Commerce and Industry', 'Ministry of Defence', 'Ministry of Science and Technology']",17,5
10,Pranav,Ray,Female,Kerala,['Ministry of Coal'],67,51
11,Ananya,Jain,Male,Assam,['Ministry of Tribal Affairs'],54,79
12,Iraa,Mehta,Female,Manipur,"['Ministry of Law and Justice', 'Ministry of Coal', 'Ministry of Information and Broadcasting', ""Prime Minister's Office""]",93,92
13,Anya,Biswas,Male,Chhattisgarh,"['Ministry of Power', 'Ministry of Information and Broadcasting', 'Ministry of Company Affairs', 'Ministry of Communications']",15,75
14,Shaurya,Ahluwalia,Female,Karnataka,['Ministry of Information and Broadcasting'],2,42
15,Veer,Jain,Male,Jammu and Kashmir,"['AYUSH', 'Ministry of Commerce and Industry', 'Ministry of Youth Affairs and Sports']",26,55
16,Riya,Saraf,Female,Jharkhand,"['Ministry of External Affairs', 'Ministry of Petroleum and Natural Gases', 'Ministry of Commerce and Industry']",6,68
17,Advik,Bajwa,Male,Uttarakhand,"['Ministry of Steel', 'Ministry of Housing and Urban Affairs', 'Ministry of Law and Justice', 'UPSC']",15,80
18,Vihaan,Naidu,Male,Chhattisgarh,['Ministry of Tribal Affairs'],40,78
19,Aaryan,Purohit,Female,Dadra and Nagar Haveli,"['Ministry of Defence', 'Ministry of Civil Aviation']",98,30
20,Siya,Kumar,Female,Lakshadweep,['Ministry of Power'],84,22
21,Angel,Chawla,Female,Lakshadweep,"['Ministry of Steel', 'Ministry of Coal']",31,89
22,Advik,Jain,Female,Kerala,['Department of Atomic Energies'],44,18
23,Pranav,Purohit,Female,Andhra Pradesh,"['Ministry of Information and Broadcasting', 'Ministry of Defence']",89,57
24,Ritvik,Ganguly,Female,Himachal Pradesh,"['Ministry of Culture', 'Ministry of Petroleum and Natural Gases']",87,89
25,Ishaan,Ahuja,Female,Andhra Pradesh,"['Ministry of Youth Affairs and Sports', 'Ministry of Commerce and Industry', 'Ministry of Science and Technology', 'Ministry of Housing and Urban Affairs']",75,78
26,Advik,Gupta,Female,West Bengal,"['AYUSH', 'Ministry of Youth Affairs and Sports', 'Ministry of Electronics and IT', 'PM Speech']",18,92
27,Reyansh,Bakshi,Female,Punjab,['UPSC'],29,14
28,Pranav,Gupta,Male,Madhya Pradesh,"['Ministry of Electronics and IT', 'Ministry of Commerce and Industry', 'Ministry of Company Affairs', 'Ministry of Law and Justice']",50,73
29,Krishna,Gill,Male,Gujarat,['Ministry of Law and Justice'],74,76
30,Kabir,Kohli,Male,Andhra Pradesh,"['Ministry of Civil Aviation', 'Ministry of Tribal Affairs', 'Ministry of Agriculture and Farmers Welfare']",45,51
31,Veer,Anand,Male,Assam,"['Ministry of Electronics and IT', 'Ministry of Defence', 'Ministry of Coal', 'Ministry of Youth Affairs and Sports']",56,78
